"Url","Title","Date","Duration(sec)"
"https://ent.ltn.com.tw/news/breakingnews/3208328","台中三井LaLaport今動工 2022開幕270品牌進駐 - 自由娛樂","2020-06-24 20:25:12","0"
"https://ent.ltn.com.tw/","自由娛樂","2020-06-24 20:25:05","7"
"https://health.ltn.com.tw/","自由健康網","2020-06-24 20:24:59","6"
"https://news.ltn.com.tw/list/breakingnews/local","地方新聞 - 即時 - 自由時報電子報","2020-06-24 20:24:56","3"
"https://news.ltn.com.tw/list/breakingnews/world","國際新聞 - 即時 - 自由時報電子報","2020-06-24 20:24:45","11"
"https://auto.ltn.com.tw/","汽車頻道-自由電子報","2020-06-24 20:24:37","8"
"https://news.ltn.com.tw/list/breakingnews/novelty","蒐奇新聞 - 即時 - 自由時報電子報","2020-06-24 20:24:27","10"
"https://news.ltn.com.tw/news/world/breakingnews/3197566","武漢肺炎》北京進入非常時期！ 瘋狂「搶菜」人龍超誇張 - 國際 - 自由時報電子報","2020-06-24 20:24:23","4"
"https://news.ltn.com.tw/news/world/breakingnews/3197617","武漢肺炎》北京警戒再提升！ 多地列為中、高風險地區 - 國際 - 自由時報電子報","2020-06-24 20:24:13","10"
"https://news.ltn.com.tw/news/world/breakingnews/3199993","武漢肺炎》北京耳語滿天飛！傳醫院爆滿、染疫屍體天天燒 - 國際 - 自由時報電子報","2020-06-24 20:24:00","13"
"https://news.ltn.com.tw/news/world/breakingnews/3203519","秋天解禁？ 日本首波開放入境國家沒台灣 日媒曝關鍵原因 - 國際 - 自由時報電子報","2020-06-24 20:23:25","35"
"https://news.ltn.com.tw/news/life/breakingnews/3208155","日本女學生染疫有台灣旅遊史 陳時中︰在台接觸者至少140人 - 生活 - 自由時報電子報","2020-06-24 20:23:19","6"
"https://news.ltn.com.tw/news/life/breakingnews/3208237?utm_source=dable","日女確診恐本土個案？ 陳時中：「待釐清」暫不列案號 - 生活 - 自由時報電子報","2020-06-24 20:22:58","0"
"https://market.ltn.com.tw/article/8382","最具潛力捷運站生活圈 【水沐青華】換屋首選 - 熱門新訊 - 自由電子報","2020-06-24 20:22:39","0"
"https://news.ltn.com.tw/news/politics/breakingnews/3208343","拚選情？求平安？柯文哲端午連假屏東輔選1天跑11廟 - 政治 - 自由時報電子報","2020-06-24 20:22:30","9"
"https://www.ltn.com.tw/","自由時報電子報","2020-06-24 20:22:26","4"
"https://news.ltn.com.tw/list/breakingnews/life","生活新聞 - 即時 - 自由時報電子報","2020-06-24 14:48:25","20034"
"https://news.ltn.com.tw/list/breakingnews/politics","政治新聞 - 即時 - 自由時報電子報","2020-06-24 14:48:24","1"
"https://sports.ltn.com.tw/","自由體育","2020-06-24 14:48:21","3"
"https://news.ltn.com.tw/list/breakingnews/popular","熱門新聞新聞 - 即時 - 自由時報電子報","2020-06-24 14:48:19","2"
"https://news.ltn.com.tw/list/breakingnews","總覽新聞 - 即時 - 自由時報電子報","2020-06-24 14:48:09","10"
"https://health.ltn.com.tw/article/breakingnews/3200518","健康網》傳離開北京班機全客滿 醫師憂：第二波病毒攻擊來了 - 即時新聞 - 自由健康網","2020-06-24 14:48:06","3"
"https://health.ltn.com.tw/article/breakingnews/3207818","想爬樓梯減重 小心膝痛先報到 - 即時新聞 - 自由健康網","2020-06-24 14:47:55","11"
"https://www.ltn.com.tw/","自由時報電子報","2020-06-24 14:47:51","4"
"https://www.chinatimes.com/realtimenews/20200620003247-260405?chdtv","桃機旅客過境演練 平板點餐、專人帶往免稅店 - 生活 - 中時","2020-06-24 14:47:41","8"
"https://www.chinatimes.com/realtimenews/20200624003186-260405?chdtv","桃機6／25起開放轉機 但排除大陸旅客 - 生活 - 中時","2020-06-24 14:47:26","15"
"https://www.chinatimes.com/realtimenews/20200624003186-260405","桃機6／25起開放轉機 但排除大陸旅客 - 生活 - 中時","2020-06-24 14:47:10","16"
"https://covid-19.chinatimes.com/%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E,%E5%8F%B0%E7%81%A3","新冠肺炎特別報導 - 中時電子報","2020-06-24 14:47:08","2"
"https://www.chinatimes.com/realtimenews/?chdtv","即時新聞 - 中時電子報","2020-06-24 14:47:04","4"
"https://www.chinatimes.com/realtimenews/20200624000070-260409?chdtv","沒有空調和電風扇 原來古人是這樣度過炎炎夏日 - 兩岸 - 旺報","2020-06-24 14:46:53","11"
"https://www.chinatimes.com/realtimenews/20200624002599-260409?chdtv","長江中上游暴雨今最凶險 三峽大壩全面蓄洪應急 - 兩岸 - 中時","2020-06-24 14:46:51","2"
"https://www.chinatimes.com/realtimenews/20200624003302-260409?ctrack=pc_main_recmd_p01","陸布置北斗衛星背後 4000億人幣位置市場爆發 - 兩岸 - 旺報","2020-06-24 14:46:41","10"
"https://www.chinatimes.com/","中時電子報","2020-06-24 14:46:35","6"
"https://sports.ltn.com.tw/news/paper/1381484","大聯盟春訓基地全關 洋基也中鏢 - 自由體育","2020-06-23 00:25:57","138029"
"https://sports.ltn.com.tw/news/paper/1381483","巨人3連勝 岱桑2安助陣 - 自由體育","2020-06-23 00:25:47","10"
"https://sports.ltn.com.tw/","自由體育","2020-06-23 00:24:06","101"
"https://news.ltn.com.tw/list/breakingnews","總覽新聞 - 即時 - 自由時報電子報","2020-06-23 00:23:12","54"
"https://sports.ltn.com.tw/","自由體育","2020-06-23 00:23:02","10"
"https://news.ltn.com.tw/list/breakingnews","總覽新聞 - 即時 - 自由時報電子報","2020-06-23 00:22:51","11"
"https://www.chinatimes.com/realtimenews/20200622002688-260405?chdtv","好市多中衛口罩又秒殺！民眾哭：一直按一直按 - 生活 - 中時電子報","2020-06-23 00:22:40","9"
"https://www.chinatimes.com/realtimenews/20200622001567-260405?ctrack=pc_main_hot_p04","屈臣氏今、明開賣「櫻花粉」等5色中衛口罩 各大通路一次看 - 生活 - 中時電子報","2020-06-23 00:22:33","6"
"https://www.chinatimes.com/?chdtv","中時電子報","2020-06-23 00:22:21","12"
